,source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
78,Twitter for iPhone,"Everybody wants to keep their Security Clearance, it’s worth great prestige and big dollars, even board seats, and that is why certain people are coming forward to protect Brennan. It certainly isn’t because of the good job he did! He is a political “hack.”",Mon Aug 20 14:23:57 +0000 2018,27176,104374,FALSE,1.03155E+18
79,Twitter for iPhone,"I hope John Brennan, the worst CIA Director in our country’s history, brings a lawsuit. It will then be very easy to get all of his records, texts, emails and documents to show not only the poor job he did, but how he was involved with the Mueller Rigged Witch Hunt. He won’t sue!",Mon Aug 20 14:13:19 +0000 2018,30910,113596,FALSE,1.03154E+18
80,Twitter for iPhone,"Where’s the Collusion? They made up a phony crime called Collusion, and when there was no Collusion they say there was Obstruction (of a phony crime that never existed). If you FIGHT BACK or say anything bad about the Rigged Witch Hunt, they scream Obstruction!",Mon Aug 20 11:48:12 +0000 2018,24202,94424,FALSE,1.03151E+18
81,Twitter for iPhone,"....looking for trouble. They are enjoying ruining people’s lives and REFUSE to look at the real corruption on the Democrat side - the lies, the firings, the deleted Emails and soooo much more! Mueller’s Angry Dems are looking to impact the election. They are a National Disgrace!",Mon Aug 20 11:38:44 +0000 2018,21600,82636,FALSE,1.03151E+18
82,Twitter for iPhone,"Disgraced and discredited Bob Mueller and his whole group of Angry Democrat Thugs spent over 30 hours with the White House Councel, only with my approval, for purposes of transparency. Anybody needing that much time when they know there is no Russian Collusion is just someone....",Mon Aug 20 11:28:45 +0000 2018,18754,75438,FALSE,1.0315E+18
83,Twitter for iPhone,"Study the late Joseph McCarthy, because we are now in period with Mueller and his gang that make Joseph McCarthy look like a baby! Rigged Witch Hunt!",Sun Aug 19 12:24:38 +0000 2018,24710,96596,FALSE,1.03115E+18
84,Twitter for iPhone,"Some members of the media are very Angry at the Fake Story in the New York Times. They actually called to complain and apologize - a big step forward. From the day I announced, the Times has been Fake News, and with their disgusting new Board Member, it will only get worse!",Sun Aug 19 12:14:44 +0000 2018,22656,88350,FALSE,1.03115E+18
85,Twitter for iPhone,"The Failing New York Times wrote a story that made it seem like the White House Councel had TURNED on the President, when in fact it is just the opposite - &; the two Fake reporters knew this. This is why the Fake News Media has become the Enemy of the People. So bad for America!",Sun Aug 19 12:06:43 +0000 2018,26528,99665,FALSE,1.03115E+18
86,Twitter for iPhone,"No Collusion and No Obstruction, except by Crooked Hillary and the Democrats. All of the resignations and corruption, yet heavily conflicted Bob Mueller refuses to even look in that direction. What about the Brennan, Comey, McCabe, Strzok lies to Congress, or Crooked’s Emails!",Sun Aug 19 11:30:41 +0000 2018,29904,116341,FALSE,1.03114E+18
87,Twitter for iPhone,....and have demanded transparency so that this Rigged and Disgusting Witch Hunt can come to a close. So many lives have been ruined over nothing - McCarthyism at its WORST! Yet Mueller &; his gang of Dems refuse to look at the real crimes on the other side - Media is even worse!,Sun Aug 19 11:15:12 +0000 2018,19946,80593,FALSE,1.03114E+18
88,Twitter for iPhone,"The failing @nytimes wrote a Fake piece today implying that because White House Councel Don McGahn was giving hours of testimony to the Special Councel, he must be a John Dean type “RAT.” But I allowed him and all others to testify - I didn’t have to. I have nothing to hide......",Sun Aug 19 11:01:47 +0000 2018,17761,71514,FALSE,1.03113E+18
89,Twitter for iPhone,"I allowed White House Counsel Don McGahn, and all other requested members of the White House Staff, to fully cooperate with the Special Counsel. In addition we readily gave over one million pages of documents. Most transparent in history. No Collusion, No Obstruction. Witch Hunt!",Sat Aug 18 22:12:30 +0000 2018,24084,95420,FALSE,1.03094E+18
90,Twitter for iPhone,"I allowed White House Counsel Don McGahn, and all other requested members of the White House Staff, to fully cooperate with the Special Councel. In addition we readily gave over one million pages of documents. Most transparent in history. No Collusion, No Obstruction. Witch Hunt!",Sat Aug 18 22:04:48 +0000 2018,1915,6355,FALSE,1.03094E+18
91,Twitter for iPhone,"The United States has ended the ridiculous 230 Million Dollar yearly development payment to Syria. Saudi Arabia and other rich countries in the Middle East will start making payments instead of the U.S. I want to develop the U.S., our military and countries that help us!",Sat Aug 18 21:51:11 +0000 2018,39705,158150,FALSE,1.03094E+18
92,Twitter for iPhone,https://t.co/TfRmZA8RWQ,Sat Aug 18 19:39:35 +0000 2018,18857,75782,FALSE,1.0309E+18
93,Twitter for iPhone,"The Economy is stronger and better than ever before. Importantly, there remains tremendous potential - it will only get better with time!",Sat Aug 18 13:39:28 +0000 2018,22583,108602,FALSE,1.03081E+18
